#separator:Pipe
#html:false
#tags column:3
¿Indemnización por despido injustificado?|3 meses (constitucional) + prestaciones + prima de antigüedad + salarios caídos topados ⚠️|Laboral
¿Qué es la sustitución patronal?|Cambio de patrón; el sustituto asume las relaciones y el sustituido responde solidariamente (~6 meses) ⚠️|Laboral
¿Qué cambió el outsourcing en 2021?|Se prohibió la subcontratación de personal; solo servicios especializados con registro REPSE ⚠️|Laboral
¿Dónde se litiga en materia laboral (reforma 2019)?|Tribunales Laborales del PJF, con conciliación previa obligatoria (Centros de Conciliación)|Laboral
¿Quién carga la prueba en el despido?|En gran medida el patrón (debe probar la causa o la inexistencia del despido) ⚠️|Laboral
¿Elementos del delito?|Conducta típica, antijurídica y culpable|Penal
¿Principio de legalidad penal?|No hay delito ni pena sin ley previa, exacta y escrita (art. 14) ⚠️|Penal
¿Qué es el cohecho?|Dar/prometer (activo) o solicitar/recibir (pasivo) una dádiva a/de un servidor público por un acto de su función|Penal
¿Qué es el debido control (compliance penal)?|El programa de cumplimiento que puede atenuar o excluir la responsabilidad penal de la persona moral|Penal
¿Sistema procesal penal vigente en México?|Acusatorio y oral (CNPP, pleno desde 2016)|Penal
¿Puede la persona moral ser penalmente responsable?|Sí (CNPP): multa, suspensión, intervención, disolución ⚠️|Penal
¿Leyes anticorrupción con alcance extraterritorial?|FCPA (EE. UU.) y UK Bribery Act (Reino Unido)|Penal
¿Cómo escala la defraudación fiscal grave?|En ciertos montos/supuestos: delincuencia organizada + lavado + prisión preventiva oficiosa ⚠️|Penal
¿Las dos ramas de la propiedad intelectual?|Propiedad industrial (marcas, patentes, secretos; IMPI) y derecho de autor (obras, software; INDAUTOR)|PropiedadIntelectual
¿Requisitos de una patente?|Novedad, actividad inventiva y aplicación industrial|PropiedadIntelectual
¿Cómo nace el derecho de autor?|Por el solo acto de creación (el registro en INDAUTOR es declarativo)|PropiedadIntelectual
¿Cómo nace una marca o patente?|Por registro ante el IMPI (sistema atributivo)|PropiedadIntelectual
¿Licencia vs. cesión?|Licencia: permiso de uso (el titular sigue siéndolo); cesión: transferencia de la titularidad|PropiedadIntelectual
¿Vigencia de patente vs. marca?|Patente ~20 años no renovable ⚠️; marca ~10 años renovables ⚠️|PropiedadIntelectual
¿Punto crítico de PI en una startup?|Que la titularidad del software esté asignada a la empresa (cesión de fundadores/desarrolladores)|PropiedadIntelectual
¿Cómo se protege un secreto industrial?|Por confidencialidad (NDAs, control de acceso), no por registro; dura mientras se mantenga secreto|PropiedadIntelectual
¿Las tres preguntas del DIP?|Ley aplicable, jurisdicción y reconocimiento/ejecución|DIP-Arbitraje
¿Cuál es el superpoder del arbitraje?|La Convención de Nueva York (1958): los laudos se ejecutan en 170+ países ⚠️|DIP-Arbitraje
¿Qué es el kompetenz-kompetenz?|El tribunal arbitral decide sobre su propia competencia|DIP-Arbitraje
¿Qué es la separabilidad del acuerdo arbitral?|La cláusula arbitral sobrevive a la nulidad del contrato principal|DIP-Arbitraje
¿Qué es la sede del arbitraje?|La nacionalidad jurídica del arbitraje (define la lex arbitri y los tribunales de nulidad); no es el lugar de las audiencias|DIP-Arbitraje
¿Se apela el laudo arbitral?|No en el fondo; solo procede su nulidad por causales tasadas|DIP-Arbitraje
¿Arbitraje de inversión?|Un inversionista extranjero demanda a un Estado por violar un tratado de inversión (CIADI/UNCITRAL)|DIP-Arbitraje
¿Qué es un dato personal?|Información concerniente a una persona física identificada o identificable|Datos
¿Qué es un dato sensible?|El de la esfera íntima o de riesgo de discriminación (salud, biométricos, orientación); requiere consentimiento expreso por escrito ⚠️|Datos
¿Derechos ARCO?|Acceso, Rectificación, Cancelación y Oposición|Datos
¿Responsable vs. encargado (datos)?|Responsable: decide el tratamiento; encargado: lo procesa por cuenta del responsable (contrato de encargo)|Datos
¿Documento clave de información al titular?|El aviso de privacidad|Datos
¿Estándar global de referencia en datos?|El GDPR europeo (extraterritorial; multas por % de facturación) ⚠️|Datos
¿Qué pasó con el INAI?|Se extinguió con la reforma de simplificación orgánica 2024-2025; funciones reasignadas ⚠️|Datos
¿Fundamento constitucional del derecho a un medio ambiente sano?|Art. 4 CPEUM (el daño ambiental genera responsabilidad) ⚠️|Ambiental
¿Principio "quien contamina paga"?|El costo de la contaminación recae en quien la genera|Ambiental
¿Qué autoriza operar una obra que impacta el ambiente?|La autorización de impacto ambiental (con base en la MIA)|Ambiental
¿Qué regula la LFRA?|La responsabilidad por el daño ambiental y su reparación (puede ser objetiva) ⚠️|Ambiental
¿Quién inspecciona y sanciona en materia ambiental?|La PROFEPA (multa, clausura, remediación)|Ambiental
¿Por qué importa la DD ambiental en M&A?|El pasivo ambiental puede ser enorme y "viajar" con el sitio al comprador ⚠️|Ambiental
¿Deberes fundamentales del abogado hacia el cliente?|Competencia/diligencia, lealtad, confidencialidad (secreto), información veraz y honorarios justos|Etica
¿Qué es un conflicto de interés?|Cuando otro cliente o el interés propio comprometen la lealtad y el juicio independiente|Etica
¿Cómo se gestiona un conflicto de interés?|Detectar (conflict check), revelar, obtener consentimiento, erigir muro ético o abstenerse|Etica
¿Qué protege el secreto profesional?|La confianza legítima del cliente, no el encubrimiento del delito|Etica
¿Frontera entre asesorar y encubrir?|Informar sobre la ley (legítimo) vs. ayudar a violarla (complicidad)|Etica
¿Quién es el cliente del abogado in-house?|La empresa (persona moral), no el directivo que da la orden|Etica
¿Tipos de responsabilidad del abogado?|Civil (mala praxis), disciplinaria, penal y reputacional|Etica
¿Emptio venditio?|La compraventa romana; antecedente directo del contrato de compraventa y del SPA moderno|Romano
¿Propiedad vs. posesión?|Propiedad: derecho pleno sobre la cosa; posesión: poder de hecho sobre ella (pueden no coincidir)|Romano
¿Pirámide de Kelsen?|Jerarquía de normas: cada nivel deriva su validez del superior; en la cúspide, la Constitución|IED
¿Un impuesto puede ser legal e inconstitucional a la vez?|Sí: aprobado por ley pero violando proporcionalidad, equidad o legalidad tributaria|Fiscal
¿Elementos de existencia del acto jurídico?|Consentimiento, objeto y (en su caso) solemnidad|ActoJuridico
¿Elementos de validez del acto jurídico?|Capacidad, ausencia de vicios del consentimiento, objeto/motivo lícito y forma|ActoJuridico
¿Inexistencia vs. nulidad?|Inexistencia: falta un elemento de existencia; nulidad (absoluta/relativa): falta un requisito de validez|ActoJuridico
¿Qué es el levantamiento del velo corporativo?|Desconocer la personalidad separada de la sociedad en caso de fraude o confusión de patrimonios|Personas
¿Título y modo?|Para transmitir la propiedad se requiere el título (causa, p. ej. compraventa) y el modo (entrega/tradición)|Bienes
¿Garantía real vs. derecho personal?|La real es oponible erga omnes y da preferencia (prenda, hipoteca); la personal es un derecho de crédito frente a una persona|Bienes
¿Obligación de medios vs. de resultado?|De medios: se debe diligencia (best efforts); de resultado: se debe el resultado concreto|Obligaciones
¿Qué es la mora?|El retraso jurídicamente relevante en el cumplimiento; genera intereses y responsabilidad|Obligaciones
¿Formas de extinción de las obligaciones?|Pago, compensación, novación, confusión, remisión, prescripción, entre otras|Obligaciones
¿Autonomía de la voluntad y sus límites?|Las partes pactan libremente, salvo orden público, normas imperativas y derechos de terceros|Contratos
¿Share deal vs. asset deal?|Share: compra de acciones (se hereda la sociedad con su historia y pasivos); asset: compra de activos (con matices de sustitución patronal y responsabilidad ambiental)|M&A
¿Qué son las conditions precedent en un SPA?|Condiciones que deben cumplirse antes del cierre (autorizaciones, no MAC, veracidad de las declaraciones)|M&A
¿Qué es una cláusula MAC?|Cambio Material Adverso: condición que permite no cerrar si el negocio sufre un deterioro material entre firma y cierre|M&A
¿Qué es el gun-jumping?|Integrar/consumar una concentración antes de obtener la autorización de competencia (prohibido)|M&A
¿Qué es la CUFIN?|Cuenta de Utilidad Fiscal Neta: identifica utilidades que ya pagaron ISR y pueden repartirse como dividendo sin ISR adicional ⚠️|Fiscal
¿Qué es un cap y un basket en la indemnización de un SPA?|Cap: monto máximo de indemnización; basket: umbral mínimo antes de poder reclamar|M&A
¿Qué son las representaciones y garantías (R&W)?|Declaraciones de hechos sobre la empresa cuya inexactitud genera indemnización; asignan el riesgo de lo desconocido|M&A
¿Qué es la due diligence?|Investigación jurídica estructurada de la empresa objetivo; sus hallazgos se jerarquizan por riesgo y se trasladan al contrato|M&A
¿Estructura de una legal opinion?|Assumptions (supuestos), opinions (opiniones) y qualifications (salvedades)|Metodologia
¿Método IRAC?|Issue (cuestión), Rule (norma), Application (aplicación a los hechos) y Conclusion (conclusión)|Metodologia
¿Primer deber al citar una norma o tesis?|Verificar su vigencia (que no esté derogada/reformada o el criterio superado) ⚠️|Metodologia
¿Jurisprudencia vs. tesis aislada?|La jurisprudencia es obligatoria; la tesis aislada es solo orientadora|Metodologia
¿Regla de oro del redline?|Cada cambio de la contraparte tiene una intención: descúbrela, sobre todo en los cambios "menores"|Laboratorio
¿Qué esconden los calificativos en un redline?|Trasladan riesgo (material, hasta donde es de su conocimiento, razonable, best efforts): identifica hacia quién|Laboratorio
¿Qué es un dividendo fuera de CUFIN?|Reparto de utilidades que no han pagado ISR: genera ISR a nivel sociedad ⚠️|Fiscal
¿Qué es el establecimiento permanente?|Presencia que hace tributar en México a un residente en el extranjero por los ingresos atribuibles ⚠️|Fiscal
¿Qué son los precios de transferencia?|Reglas que exigen que las operaciones entre partes relacionadas se pacten a valor de mercado (arm's length) ⚠️|Fiscal
¿Qué es el interés legítimo en el amparo?|Afectación real y diferenciada por la posición del quejoso, aunque no sea un derecho subjetivo clásico (ampliado en 2013) ⚠️|Constitucional
¿Qué es la reserva de ley?|Ciertas materias solo pueden regularse por ley, no por reglamento; un reglamento no puede crear cargas no previstas en la ley|Administrativo
¿Qué es el test del acto de molestia (art. 16)?|Competente, por escrito, fundado y motivado: si falla alguno, el acto es inconstitucional|Constitucional
¿La integridad es costo o inversión?|Inversión: la reputación de rectitud es el activo profesional de largo plazo del abogado|Etica

¿Sistema procesal penal vigente en México y desde cuándo?|Acusatorio, oral y adversarial; reforma 2008, plena vigencia 18-jun-2016 (CNPP publicado 5-mar-2014) ✅|ProcesalPenal
¿Los tres tipos de juez en el proceso penal?|Juez de control, tribunal de enjuiciamiento y juez de ejecución|ProcesalPenal
¿Etapas del proceso penal acusatorio?|Investigación (inicial/complementaria), intermedia, juicio oral y ejecución|ProcesalPenal
¿Formas de detención (art. 16)?|Orden de aprehensión, flagrancia y caso urgente ⚠️|ProcesalPenal
¿Prisión preventiva justificada vs. oficiosa?|Justificada: la pide el MP y la concede el juez; oficiosa: obligatoria para un catálogo constitucional (art. 19 ⚠️)|ProcesalPenal
¿Estándar para condenar en penal?|Culpabilidad más allá de toda duda razonable|ProcesalPenal
¿Qué es "prueba" en el sistema acusatorio?|Solo la desahogada en juicio ante el tribunal (inmediación y contradicción)|ProcesalPenal
¿Salidas alternas/terminación anticipada?|Acuerdos reparatorios, suspensión condicional y procedimiento abreviado|ProcesalPenal
¿Verdad central de la defensa penal?|El caso se gana en la investigación (primeras 48-72 h), no en el juicio|ProcesalPenal
¿Dos regímenes patrimoniales del matrimonio?|Sociedad conyugal (bienes comunes) y separación de bienes (patrimonios independientes)|Familiar
¿Por qué importa el régimen matrimonial al corporativo?|En sociedad conyugal, disponer de acciones (bien común) puede requerir consentimiento del cónyuge|Familiar
¿México tiene legítima (herencia forzosa)?|No; hay amplia libertad de testar, limitada solo por la obligación alimentaria ⚠️|Familiar
¿Herencia vs. legado?|Herencia = a título universal; legado = bien determinado|Familiar
¿Testamento más usado en México?|Público abierto (ante notario)|Familiar
¿Riesgo de morir intestado con empresa?|Control fragmentado entre herederos legales + juicio sucesorio largo|Familiar
¿Herramientas de planeación de la empresa familiar?|Testamento, régimen matrimonial, fideicomiso, holding, protocolo familiar y acuerdo de accionistas|Familiar
¿La materia familiar es federal o local?|Local (Código Civil/Familiar de cada estado) ⚠️; el procedimiento va en el CNPCF|Familiar
¿Los tres regímenes de propiedad (art. 27)?|Privada, pública y social (ejidos y comunidades)|Agrario
¿Qué cambió la reforma agraria de 1992?|Concluyó el reparto; permitió dominio pleno, aportación a sociedades y entrada (con reglas) de la tierra social al mercado ⚠️|Agrario
¿Órgano supremo del ejido?|La Asamblea (con formalidades reforzadas para actos de dominio)|Agrario
¿Qué es el dominio pleno?|Convertir una parcela ejidal en propiedad privada (vía asamblea + RAN) ⚠️|Agrario
¿Autoridades agrarias?|RAN (registro), Procuraduría Agraria (defensa) y Tribunales Agrarios (justicia)|Agrario
¿Mayor riesgo agrario para un proyecto?|La nulidad por asamblea viciada o vicio de origen → derrumba la titularidad|Agrario
¿Cómo accede una empresa a tierra ejidal?|Dominio pleno (compra), aportación a sociedad, arrendamiento/usufructo u ocupación —siempre con asamblea válida—|Agrario
¿Qué exige la consulta indígena?|Consulta previa, libre e informada (Convenio 169 OIT ⚠️); su omisión suspende proyectos|Agrario
Bilingüe: "Declaraciones y garantías"|Representations and warranties (reps & warranties)|Bilingue
Bilingüe: "Condiciones suspensivas al cierre"|Conditions precedent (CPs)|Bilingue
Bilingüe: "Cambio material adverso"|Material Adverse Change/Effect (MAC/MAE)|Bilingue
Bilingüe: "Compra de acciones" vs "de activos"|Share deal (SPA) vs. asset deal (APA)|Bilingue
Bilingüe: "Debida diligencia"|Due diligence|Bilingue
Bilingüe: "Depósito en garantía"|Escrow|Bilingue
Bilingüe: "Tope / umbral" (indemnización)|Cap / basket|Bilingue
Falso amigo: "crédito fiscal"|NO es tax credit; en México es un adeudo (tax liability/assessment) ⚠️|Bilingue
Falso amigo: "rescisión" (por incumplimiento)|≈ termination, NO rescission|Bilingue
Falso amigo: "causa" del contrato|NO equivale a consideration (concepto distinto del common law)|Bilingue
Falso amigo: "sede" del arbitraje|Es la seat (nacionalidad jurídica), NO el venue (lugar de audiencias)|Bilingue
Bilingüe: "Insider trading"|Uso indebido de información privilegiada|Bilingue
Bilingüe: "Piercing the corporate veil"|Levantamiento del velo corporativo|Bilingue
Bilingüe: "Force majeure"|Fuerza mayor / caso fortuito|Bilingue
Bilingüe: "Governing law / seat / language"|Ley aplicable / sede / idioma (cláusula de disputas)|Bilingue
¿Qué es la sustitución patronal y su efecto en M&A?|Cambio de patrón; el sustituto asume las relaciones y pasivos (solidaridad del anterior ~6 meses ⚠️): los pasivos laborales "viajan"|Laboral
¿Qué es el gun-jumping?|Consumar/integrar una concentración antes de la autorización de competencia (prohibido)|M&A
¿Qué es la CUFIN?|Cuenta de Utilidad Fiscal Neta: identifica utilidades que ya pagaron ISR y pueden repartirse como dividendo sin ISR adicional ⚠️|Fiscal
¿Sede vs. lugar de audiencias en arbitraje?|La sede define la lex arbitri y los tribunales de nulidad; el lugar de audiencias es conveniencia física|DIP-Arbitraje
